x,y
0.00368564413220675,-0.18204223388173504
0.011062980468724101,-0.5461267745135444
0.01845186643690715,-0.9102114244478607
0.02585128188001835,-1.274296183684684
0.033260243075484405,-1.6383810522240179
0.0406777298665678,-2.0024659571975194
0.04810272209652745,-2.3665508986051886
0.0555341996086223,-2.73063580357869
0.06297117868028265,-3.094720635683853
0.07041263915476376,-3.4588053949206756
0.07785756087533174,-3.8228900084208206
0.0853049601194133,-4.186974439750124
0.0927538167302637,-4.551058688908579
0.1002031105511455,-4.915142719462015
0.107651857859489,-5.279226458542096
0.1150990384985531,-5.643309906148826
0.12254359587742525,-6.00739302584803
0.12998458270770713,-6.371475781205543
0.13742097883265775,-6.735558099353024
0.14485172766136462,-7.099639980290473
0.15227584547126155,-7.4637214240178915
0.15969231210560747,-7.827802321232768
0.16710014384182548,-8.191882671935105
0.17449835695734944,-8.555962476124906
0.18188589486127055,-8.920041624499657
0.18926173739684404,-9.284120117059365
0.19662490084150025,-9.648197953804026
0.20397436503850164,-10.012275061865294
0.21130914626527494,-10.376351441243179
0.21862822436507906,-10.740427019069337
0.2259305427470087,-11.1045017589096
0.23321511768848702,-11.468575660763975
0.24048096546694414,-11.832648651764114
0.24772706592564275,-12.19672073191002
0.25495239890783805,-12.560791864767525
0.26215594425679256,-12.924861977468293
0.2693367182499366,-13.288931033578148
0.2764937007305255,-13.652999033097098
0.2836258715418216,-14.017065976025133
0.29073224696125544,-14.381131753059751
0.2978117703979144,-14.74519632776678
0.3048634581292252,-15.109259736580395
0.3118863264326217,-15.473321906632258
0.3188793551513628,-15.83738280148819
0.325841487694536,-16.201442384714024
0.3327717403395718,-16.5655006198756
0.33966912936390026,-16.92955747053874
0.3465326346107803,-17.293612900269274
0.35336123592347096,-17.65766690906721
0.36015391314523104,-18.0217194240642
0.36691551202057715,-18.38577019022107
0.3737494327219836,-18.749814653266647
0.38092565244396404,-19.113841154266762
0.38879011362402216,-19.477834791646167
0.39769090831564335,-19.841780518092943
0.407976055703981,-20.205663359163506
0.4199935749741886,-20.56946830398011
0.4340914853114197,-20.933180305230827
0.4506178787691668,-21.296784315603738
0.4699207745325763,-21.66026536065526
0.4923481917868052,-22.023608465941813
